input_file,input_size_bytes,protocol,window,impairment_path,probability,elapsed_ms,frames_sent,retransmissions,acks_received,timeouts,unique_payload_bytes,transmitted_frame_bytes,efficiency,goodput_bytes_per_second
input.txt,537,selective-repeat,8,data-loss,0.4,142.26,23,11,12,5,537,1449,0.3706,3774.779
input.txt,537,selective-repeat,8,data-loss,0.5,139.496,27,15,12,5,537,1701,0.315697,3849.573
input.txt,537,selective-repeat,8,ack-error,0.1,25.9819,14,2,12,1,537,882,0.608844,20668.234
input.txt,537,selective-repeat,8,ack-error,0.2,70.4432,18,6,12,3,537,1134,0.473545,7623.163
input.txt,537,selective-repeat,8,ack-error,0.3,97.2209,25,13,12,4,537,1575,0.340952,5523.504
input.txt,537,selective-repeat,8,ack-error,0.4,88.8806,31,19,12,2,537,1953,0.274962,6041.813
input.txt,537,selective-repeat,8,ack-error,0.5,177.465,41,29,12,4,537,2583,0.207898,3025.949
input.txt,537,selective-repeat,8,ack-loss,0.1,94.0946,22,10,12,3,537,1386,0.387446,5707.023
input.txt,537,selective-repeat,8,ack-loss,0.2,21.893,14,2,12,1,537,882,0.608844,24528.388
input.txt,537,selective-repeat,8,ack-loss,0.3,91.5712,30,18,12,3,537,1890,0.284127,5864.289
input.txt,537,selective-repeat,8,ack-loss,0.4,121.85,34,22,12,4,537,2142,0.2507,4407.058
input.txt,537,selective-repeat,8,ack-loss,0.5,87.7198,26,14,12,2,537,1638,0.327839,6121.765
medium.bin,1200,stop-and-wait,1,baseline,0.0,5.20298,27,0,27,0,1200,1701,0.705467,230637.058
medium.bin,1200,stop-and-wait,1,data-error,0.1,98.4745,34,3,27,3,1200,2142,0.560224,12185.896
medium.bin,1200,stop-and-wait,1,data-error,0.2,253.732,34,7,27,7,1200,2142,0.560224,4729.4
medium.bin,1200,stop-and-wait,1,data-error,0.3,516.512,41,14,27,14,1200,2583,0.464576,2323.276
medium.bin,1200,stop-and-wait,1,data-error,0.4,535.856,41,14,27,14,1200,2583,0.464576,2239.408
medium.bin,1200,stop-and-wait,1,data-error,0.5,772.102,43,16,27,16,1200,2709,0.442968,1554.199
medium.bin,1200,stop-and-wait,1,data-loss,0.1,48.2989,29,2,27,2,1200,1827,0.656814,24845.286
medium.bin,1200,stop-and-wait,1,data-loss,0.2,32.1537,28,1,27,1,1200,1764,0.680272,37320.744
medium.bin,1200,stop-and-wait,1,data-loss,0.3,575.884,38,11,27,11,1200,2394,0.501253,2083.753
medium.bin,1200,stop-and-wait,1,data-loss,0.4,342.577,41,14,27,14,1200,2583,0.464576,3502.862
medium.bin,1200,stop-and-wait,1,data-loss,0.5,626.866,53,26,27,26,1200,3339,0.359389,1914.285
medium.bin,1200,stop-and-wait,1,ack-error,0.1,2.56358,30,0,27,0,1200,1890,0.634921,468095.398
medium.bin,1200,stop-and-wait,1,ack-error,0.2,8.21362,35,0,27,0,1200,2205,0.544218,146098.797
medium.bin,1200,stop-and-wait,1,ack-error,0.3,3.18732,38,0,27,0,1200,2394,0.501253,376491.849
medium.bin,1200,stop-and-wait,1,ack-error,0.4,2.89738,41,0,27,0,1200,2583,0.464576,414167.282
medium.bin,1200,stop-and-wait,1,ack-error,0.5,3.306,46,0,27,0,1200,2898,0.414079,362976.407
medium.bin,1200,stop-and-wait,1,ack-loss,0.1,265.562,33,6,27,6,1200,2079,0.577201,4518.719
medium.bin,1200,stop-and-wait,1,ack-loss,0.2,143.142,31,4,27,4,1200,1953,0.614439,8383.284
medium.bin,1200,stop-and-wait,1,ack-loss,0.3,645.608,48,21,27,21,1200,3024,0.396825,1858.713
medium.bin,1200,stop-and-wait,1,ack-loss,0.4,1217.37,46,19,27,19,1200,2898,0.414079,985.732
medium.bin,1200,stop-and-wait,1,ack-loss,0.5,741.559,56,28,27,28,1200,3528,0.340136,1618.212
medium.bin,1200,go-back-n,8,baseline,0.0,24.6929,28,1,27,1,1200,1764,0.680272,48596.965
medium.bin,1200,go-back-n,8,data-error,0.1,120.803,60,33,27,5,1200,3780,0.31746,9933.528
